State,Year,Value
Chhattisgarh,2021-2022,368
Gujarat,2021-2022,593
Haryana,2021-2022,509
Himachal Pradesh,2021-2022,719
Jharkhand,2021-2022,903
Karnataka,2021-2022,493
Madhya Pradesh,2021-2022,507
Maharashtra,2021-2022,484
Manipur,2021-2022,955
Odisha,2021-2022,338
Punjab,2021-2022,441
Rajasthan,2021-2022,366
Sikkim,2021-2022,943
Tamil Nadu,2021-2022,881
Telangana,2021-2022,792
Tripura,2021-2022,687
Uttarakhand,2021-2022,1203
Uttar Pradesh,2021-2022,498
West Bengal,2021-2022,665
India,2021-2022,515
